,Wind Onshore,startTime,totalRenewable,total,percentRenewable
473,11.0,202109071500,11.0,409.0,3
474,14.0,202109071600,14.0,409.0,3
475,15.0,202109071700,15.0,412.0,4
476,14.0,202109071800,14.0,414.0,3
477,12.0,202109071900,12.0,419.0,3
478,10.0,202109072000,10.0,418.0,2
479,9.0,202109072100,9.0,403.0,2
480,6.0,202109072200,6.0,401.0,1
481,5.0,202109072300,5.0,401.0,1
482,4.0,202109080000,4.0,400.0,1
483,4.0,202109080100,4.0,399.0,1
484,4.0,202109080200,4.0,404.0,1
485,5.0,202109080300,5.0,402.0,1
486,6.0,202109080400,6.0,420.0,1
487,5.0,202109080500,5.0,410.0,1
488,4.0,202109080600,4.0,410.0,1
489,2.0,202109080700,2.0,396.0,1
490,1.0,202109080800,1.0,398.0,0
491,1.0,202109080900,1.0,400.0,0
492,1.0,202109081000,1.0,401.0,0
493,1.0,202109081100,1.0,401.0,0
494,1.0,202109081200,1.0,401.0,0
495,1.0,202109081300,1.0,400.0,0
496,2.0,202109081400,2.0,418.0,0
497,4.0,202109081500,4.0,416.0,1
498,6.0,202109081600,6.0,417.0,1
499,7.0,202109081700,7.0,420.0,2
500,7.0,202109081800,7.0,422.0,2
501,7.0,202109081900,7.0,427.0,2
502,5.0,202109082000,5.0,426.0,1
503,3.0,202109082100,3.0,410.0,1
504,2.0,202109082200,2.0,280.0,1
505,2.0,202109082300,2.0,278.0,1
506,2.0,202109090000,2.0,276.0,1
507,2.0,202109090100,2.0,273.0,1
508,2.0,202109090200,2.0,271.0,1
509,2.0,202109090300,2.0,267.0,1
510,2.0,202109090400,2.0,282.0,1
511,1.0,202109090500,1.0,276.0,0
512,1.0,202109090600,1.0,277.0,0
513,1.0,202109090700,1.0,263.0,0
514,1.0,202109090800,1.0,264.0,0
515,1.0,202109090900,1.0,266.0,0
516,1.0,202109091000,1.0,266.0,0
517,1.0,202109091100,1.0,266.0,0
518,1.0,202109091200,1.0,268.0,0
519,1.0,202109091300,1.0,269.0,0
520,1.0,202109091400,1.0,286.0,0
521,2.0,202109091500,2.0,286.0,1
522,4.0,202109091600,4.0,286.0,1
523,7.0,202109091700,7.0,288.0,2
524,7.0,202109091800,7.0,290.0,2
525,5.0,202109091900,5.0,294.0,2
526,4.0,202109092000,4.0,291.0,1
527,3.0,202109092100,3.0,273.0,1
528,4.0,202109092200,4.0,396.0,1
529,3.0,202109092300,3.0,395.0,1
530,2.0,202109100000,2.0,394.0,1
531,2.0,202109100100,2.0,393.0,1
532,1.0,202109100200,1.0,393.0,0
533,1.0,202109100300,1.0,391.0,0
534,1.0,202109100400,1.0,392.0,0
535,1.0,202109100500,1.0,389.0,0
536,1.0,202109100600,1.0,390.0,0
537,0.0,202109100700,0.0,391.0,0
538,0.0,202109100800,0.0,382.0,0
539,0.0,202109100900,0.0,383.0,0
540,0.0,202109101000,0.0,384.0,0
541,0.0,202109101100,0.0,385.0,0
542,0.0,202109101200,0.0,387.0,0
543,1.0,202109101300,1.0,387.0,0
544,1.0,202109101400,1.0,387.0,0
545,2.0,202109101500,2.0,385.0,1
546,3.0,202109101600,3.0,402.0,1
547,3.0,202109101700,3.0,406.0,1
548,4.0,202109101800,4.0,409.0,1
549,5.0,202109101900,5.0,418.0,1
550,4.0,202109102000,4.0,414.0,1
551,3.0,202109102100,3.0,393.0,1
552,2.0,202109102200,2.0,577.0,0
553,2.0,202109102300,2.0,610.0,0
554,2.0,202109110000,2.0,586.0,0
555,1.0,202109110100,1.0,561.0,0
556,1.0,202109110200,1.0,571.0,0
557,1.0,202109110300,1.0,574.0,0
558,1.0,202109110400,1.0,570.0,0
559,1.0,202109110500,1.0,589.0,0
560,1.0,202109110600,1.0,594.0,0
561,0.0,202109110700,0.0,595.0,0
562,0.0,202109110800,0.0,591.0,0
563,0.0,202109110900,0.0,592.0,0
564,0.0,202109111000,0.0,592.0,0
565,0.0,202109111100,0.0,592.0,0
566,1.0,202109111200,1.0,593.0,0
567,2.0,202109111300,2.0,593.0,0
568,3.0,202109111400,3.0,592.0,1
569,6.0,202109111500,6.0,592.0,1
570,8.0,202109111600,8.0,609.0,1
571,10.0,202109111700,10.0,609.0,2
572,13.0,202109111800,13.0,623.0,2
573,13.0,202109111900,13.0,621.0,2
574,11.0,202109112000,11.0,620.0,2
575,9.0,202109112100,9.0,603.0,1
576,7.0,202109112200,7.0,597.0,1
577,7.0,202109112300,7.0,595.0,1
578,7.0,202109120000,7.0,593.0,1
579,6.0,202109120100,6.0,598.0,1
580,5.0,202109120200,5.0,598.0,1
581,5.0,202109120300,5.0,597.0,1
582,4.0,202109120400,4.0,599.0,1
583,4.0,202109120500,4.0,602.0,1
584,3.0,202109120600,3.0,603.0,0
585,2.0,202109120700,2.0,604.0,0
586,1.0,202109120800,1.0,588.0,0
587,2.0,202109120900,2.0,588.0,0
588,2.0,202109121000,2.0,588.0,0
589,3.0,202109121100,3.0,587.0,1
590,3.0,202109121200,3.0,587.0,1
591,5.0,202109121300,5.0,586.0,1
592,7.0,202109121400,7.0,585.0,1
593,9.0,202109121500,9.0,616.0,1
594,13.0,202109121600,13.0,616.0,2
595,16.0,202109121700,16.0,617.0,3
596,18.0,202109121800,18.0,637.0,3
597,17.0,202109121900,17.0,637.0,3
598,16.0,202109122000,16.0,621.0,3
599,15.0,202109122100,15.0,605.0,2
600,15.0,202109122200,15.0,628.0,2
601,14.0,202109122300,14.0,627.0,2
602,13.0,202109130000,13.0,626.0,2
603,13.0,202109130100,13.0,624.0,2
604,12.0,202109130200,12.0,624.0,2
605,11.0,202109130300,11.0,624.0,2
606,9.0,202109130400,9.0,625.0,1
607,7.0,202109130500,7.0,623.0,1
608,5.0,202109130600,5.0,613.0,1
609,4.0,202109130700,4.0,612.0,1
610,4.0,202109130800,4.0,596.0,1
611,3.0,202109130900,3.0,596.0,1
612,3.0,202109131000,3.0,595.0,1
613,4.0,202109131100,4.0,595.0,1
614,4.0,202109131200,4.0,595.0,1
615,5.0,202109131300,5.0,612.0,1
616,6.0,202109131400,6.0,612.0,1
617,9.0,202109131500,9.0,628.0,1
618,13.0,202109131600,13.0,631.0,2
619,16.0,202109131700,16.0,638.0,3
620,17.0,202109131800,17.0,665.0,3
621,16.0,202109131900,16.0,667.0,2
622,15.0,202109132000,15.0,649.0,2
623,13.0,202109132100,13.0,635.0,2
624,15.0,202109132200,15.0,639.0,2
625,11.0,202109132300,11.0,638.0,2
626,8.0,202109140000,8.0,636.0,1
627,8.0,202109140100,8.0,632.0,1
628,7.0,202109140200,7.0,627.0,1
629,6.0,202109140300,6.0,635.0,1
630,5.0,202109140400,5.0,632.0,1
631,3.0,202109140500,3.0,633.0,0
632,2.0,202109140600,2.0,638.0,0
633,2.0,202109140700,2.0,636.0,0
634,2.0,202109140800,2.0,620.0,0
635,3.0,202109140900,3.0,620.0,0
636,2.0,202109141000,2.0,620.0,0
637,2.0,202109141100,2.0,620.0,0
638,2.0,202109141200,2.0,620.0,0
639,2.0,202109141300,2.0,638.0,0
640,3.0,202109141400,3.0,643.0,0
641,5.0,202109141500,5.0,662.0,1
642,7.0,202109141600,7.0,663.0,1
643,9.0,202109141700,9.0,667.0,1
644,10.0,202109141800,10.0,677.0,1
645,9.0,202109141900,9.0,677.0,1
646,8.0,202109142000,8.0,660.0,1
647,8.0,202109142100,8.0,640.0,1
648,8.0,202109142200,8.0,786.0,1
649,7.0,202109142300,7.0,783.0,1
650,5.0,202109150000,5.0,783.0,1
651,4.0,202109150100,4.0,781.0,1
652,3.0,202109150200,3.0,780.0,0
653,2.0,202109150300,2.0,781.0,0
654,2.0,202109150400,2.0,777.0,0
655,1.0,202109150500,1.0,779.0,0
656,1.0,202109150600,1.0,774.0,0
657,0.0,202109150700,0.0,774.0,0
658,0.0,202109150800,0.0,753.0,0
