,Solar,startTime,totalRenewable,total,percentRenewable
383,0.0,202001162300,0.0,1198.0,0
384,0.0,202001170000,0.0,1198.0,0
385,0.0,202001170100,0.0,1273.0,0
386,0.0,202001170200,0.0,1277.0,0
387,0.0,202001170300,0.0,1280.0,0
388,0.0,202001170400,0.0,1291.0,0
389,0.0,202001170500,0.0,1596.0,0
390,0.0,202001170600,0.0,1777.0,0
391,10.0,202001170700,10.0,1887.0,1
392,32.0,202001170800,32.0,1842.0,2
393,57.0,202001170900,57.0,1726.0,3
394,71.0,202001171000,71.0,1708.0,4
395,72.0,202001171100,72.0,1743.0,4
396,67.0,202001171200,67.0,1662.0,4
397,43.0,202001171300,43.0,1630.0,3
398,18.0,202001171400,18.0,1759.0,1
399,2.0,202001171500,2.0,1922.0,0
400,0.0,202001171600,0.0,2062.0,0
401,0.0,202001171700,0.0,2070.0,0
402,0.0,202001171800,0.0,1997.0,0
403,0.0,202001171900,0.0,2002.0,0
404,0.0,202001172000,0.0,1753.0,0
405,0.0,202001172100,0.0,1627.0,0
406,0.0,202001172200,0.0,1439.0,0
407,0.0,202001172300,0.0,1520.0,0
408,0.0,202001180000,0.0,1393.0,0
409,0.0,202001180100,0.0,1317.0,0
410,0.0,202001180200,0.0,1259.0,0
411,0.0,202001180300,0.0,1422.0,0
412,0.0,202001180400,0.0,1509.0,0
413,0.0,202001180500,0.0,1754.0,0
414,0.0,202001180600,0.0,1873.0,0
415,9.0,202001180700,9.0,1947.0,0
416,29.0,202001180800,29.0,1969.0,1
417,48.0,202001180900,48.0,1992.0,2
418,57.0,202001181000,57.0,1971.0,3
419,58.0,202001181100,58.0,1968.0,3
420,53.0,202001181200,53.0,1786.0,3
421,32.0,202001181300,32.0,1780.0,2
422,13.0,202001181400,13.0,1802.0,1
423,1.0,202001181500,1.0,1698.0,0
424,0.0,202001181600,0.0,1793.0,0
425,0.0,202001181700,0.0,1747.0,0
426,0.0,202001181800,0.0,1801.0,0
427,0.0,202001181900,0.0,1719.0,0
428,0.0,202001182000,0.0,1661.0,0
429,0.0,202001182100,0.0,1644.0,0
430,0.0,202001182200,0.0,1444.0,0
431,0.0,202001182300,0.0,1394.0,0
432,0.0,202001190000,0.0,1307.0,0
433,0.0,202001190100,0.0,1262.0,0
434,0.0,202001190200,0.0,1265.0,0
435,0.0,202001190300,0.0,1271.0,0
436,0.0,202001190400,0.0,1267.0,0
437,0.0,202001190500,0.0,1325.0,0
438,0.0,202001190600,0.0,1375.0,0
439,9.0,202001190700,9.0,1538.0,1
440,30.0,202001190800,30.0,1552.0,2
441,54.0,202001190900,54.0,1809.0,3
442,68.0,202001191000,68.0,1890.0,4
443,71.0,202001191100,71.0,1760.0,4
444,63.0,202001191200,63.0,1747.0,4
445,40.0,202001191300,40.0,1640.0,2
446,17.0,202001191400,17.0,1468.0,1
447,2.0,202001191500,2.0,1535.0,0
448,0.0,202001191600,0.0,1756.0,0
449,0.0,202001191700,0.0,1846.0,0
450,0.0,202001191800,0.0,1853.0,0
451,0.0,202001191900,0.0,1764.0,0
452,0.0,202001192000,0.0,1471.0,0
453,0.0,202001192100,0.0,1365.0,0
454,0.0,202001192200,0.0,1379.0,0
455,0.0,202001192300,0.0,1326.0,0
456,0.0,202001200000,0.0,1331.0,0
457,0.0,202001200100,0.0,1325.0,0
458,0.0,202001200200,0.0,1266.0,0
459,0.0,202001200300,0.0,1273.0,0
460,0.0,202001200400,0.0,1501.0,0
461,0.0,202001200500,0.0,1820.0,0
462,0.0,202001200600,0.0,2012.0,0
463,9.0,202001200700,9.0,2043.0,0
464,30.0,202001200800,30.0,1982.0,2
465,48.0,202001200900,48.0,1910.0,3
466,59.0,202001201000,59.0,1946.0,3
467,60.0,202001201100,60.0,1848.0,3
468,51.0,202001201200,51.0,1645.0,3
469,33.0,202001201300,33.0,1649.0,2
470,14.0,202001201400,14.0,1890.0,1
471,1.0,202001201500,1.0,1960.0,0
472,0.0,202001201600,0.0,2089.0,0
473,0.0,202001201700,0.0,2101.0,0
474,0.0,202001201800,0.0,2022.0,0
475,0.0,202001201900,0.0,1867.0,0
476,0.0,202001202000,0.0,1561.0,0
477,0.0,202001202100,0.0,1363.0,0
478,0.0,202001202200,0.0,1370.0,0
479,0.0,202001202300,0.0,1392.0,0
480,1.0,202001210000,1.0,1338.0,0
481,0.0,202001210100,0.0,1325.0,0
482,0.0,202001210200,0.0,1329.0,0
483,0.0,202001210300,0.0,1339.0,0
484,0.0,202001210400,0.0,1611.0,0
485,0.0,202001210500,0.0,1637.0,0
486,0.0,202001210600,0.0,1952.0,0
487,9.0,202001210700,9.0,2016.0,0
488,28.0,202001210800,28.0,2186.0,1
489,41.0,202001210900,41.0,2245.0,2
490,58.0,202001211000,58.0,2279.0,3
491,58.0,202001211100,58.0,2275.0,3
492,59.0,202001211200,59.0,2230.0,3
493,38.0,202001211300,38.0,2178.0,2
494,17.0,202001211400,17.0,2121.0,1
495,2.0,202001211500,2.0,2140.0,0
496,0.0,202001211600,0.0,1963.0,0
497,0.0,202001211700,0.0,1987.0,0
498,0.0,202001211800,0.0,1876.0,0
499,0.0,202001211900,0.0,1751.0,0
500,0.0,202001212000,0.0,1610.0,0
501,0.0,202001212100,0.0,1604.0,0
502,0.0,202001212200,0.0,1507.0,0
503,0.0,202001212300,0.0,1500.0,0
504,0.0,202001220000,0.0,1392.0,0
505,0.0,202001220100,0.0,1315.0,0
506,0.0,202001220200,0.0,1410.0,0
507,0.0,202001220300,0.0,1423.0,0
508,0.0,202001220400,0.0,1603.0,0
509,0.0,202001220500,0.0,1795.0,0
510,0.0,202001220600,0.0,1961.0,0
511,10.0,202001220700,10.0,2203.0,0
512,29.0,202001220800,29.0,2216.0,1
513,48.0,202001220900,48.0,1963.0,2
514,62.0,202001221000,62.0,2059.0,3
515,63.0,202001221100,63.0,2037.0,3
516,58.0,202001221200,58.0,1940.0,3
517,39.0,202001221300,39.0,1907.0,2
518,18.0,202001221400,18.0,1938.0,1
519,2.0,202001221500,2.0,2012.0,0
520,0.0,202001221600,0.0,2142.0,0
521,0.0,202001221700,0.0,2168.0,0
522,0.0,202001221800,0.0,2135.0,0
523,0.0,202001221900,0.0,2091.0,0
524,0.0,202001222000,0.0,1865.0,0
525,0.0,202001222100,0.0,1633.0,0
526,0.0,202001222200,0.0,1541.0,0
527,0.0,202001222300,0.0,1452.0,0
528,0.0,202001230000,0.0,1394.0,0
529,0.0,202001230100,0.0,1396.0,0
530,0.0,202001230200,0.0,1397.0,0
531,0.0,202001230300,0.0,1398.0,0
532,0.0,202001230400,0.0,1533.0,0
533,0.0,202001230500,0.0,1717.0,0
534,0.0,202001230600,0.0,1920.0,0
535,11.0,202001230700,11.0,2097.0,1
536,34.0,202001230800,34.0,2100.0,2
537,53.0,202001230900,53.0,2090.0,3
538,67.0,202001231000,67.0,2017.0,3
539,59.0,202001231100,59.0,1977.0,3
540,60.0,202001231200,60.0,1922.0,3
541,40.0,202001231300,40.0,1877.0,2
542,19.0,202001231400,19.0,1703.0,1
543,2.0,202001231500,2.0,1797.0,0
