,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
154,,336.0,,1456.0,17982.0,29.0,,,1098.0,202001071000,202001071100,20536.0,1098.0,365.0,20901.0,98,5
155,,337.0,,1455.0,17965.0,27.0,,,1183.0,202001071100,202001071200,20603.0,1183.0,364.0,20967.0,98,6
156,,337.0,,1454.0,17989.0,25.0,,,1444.0,202001071200,202001071300,20887.0,1444.0,362.0,21249.0,98,7
157,,339.0,,1451.0,18009.0,23.0,,,1514.0,202001071300,202001071400,20974.0,1514.0,362.0,21336.0,98,7
158,,335.0,,1458.0,17970.0,20.0,,,1578.0,202001071400,202001071500,21006.0,1578.0,355.0,21361.0,98,7
159,,335.0,,1455.0,17617.0,20.0,,,1704.0,202001071500,202001071600,20776.0,1704.0,355.0,21131.0,98,8
160,,334.0,,1455.0,16903.0,20.0,,,1684.0,202001071600,202001071700,20042.0,1684.0,354.0,20396.0,98,8
161,,334.0,,1455.0,15900.0,21.0,,,1661.0,202001071700,202001071800,19016.0,1661.0,355.0,19371.0,98,9
162,,334.0,,1457.0,14388.0,27.0,,,1629.0,202001071800,202001071900,17474.0,1629.0,361.0,17835.0,98,9
163,,335.0,,1462.0,12831.0,28.0,,,1645.0,202001071900,202001072000,15938.0,1645.0,363.0,16301.0,98,10
164,,335.0,,1466.0,11521.0,29.0,,,1696.0,202001072000,202001072100,14683.0,1696.0,364.0,15047.0,98,11
165,,334.0,,1468.0,10409.0,28.0,,,1693.0,202001072100,202001072200,13570.0,1693.0,362.0,13932.0,97,12
166,,335.0,,1467.0,9373.0,49.0,,,1766.0,202001072200,202001072300,12606.0,1766.0,384.0,12990.0,97,14
167,,345.0,,1514.0,7831.0,13.0,,,1765.0,202001072300,202001080000,11110.0,1765.0,358.0,11468.0,97,15
168,,348.0,,1518.0,7517.0,13.0,,,1838.0,202001080000,202001080100,10873.0,1838.0,361.0,11234.0,97,16
169,,343.0,,1520.0,6887.0,13.0,,,1980.0,202001080100,202001080200,10387.0,1980.0,356.0,10743.0,97,18
170,,347.0,,1525.0,6825.0,14.0,,,1988.0,202001080200,202001080300,10338.0,1988.0,361.0,10699.0,97,19
171,,348.0,,1520.0,6538.0,15.0,,,1974.0,202001080300,202001080400,10032.0,1974.0,363.0,10395.0,97,19
172,,345.0,,1521.0,7895.0,15.0,,,2009.0,202001080400,202001080500,11425.0,2009.0,360.0,11785.0,97,17
173,,348.0,,1515.0,10349.0,15.0,,,1964.0,202001080500,202001080600,13828.0,1964.0,363.0,14191.0,97,14
174,,344.0,,1524.0,12559.0,15.0,,,1939.0,202001080600,202001080700,16022.0,1939.0,359.0,16381.0,98,12
175,,344.0,,1527.0,13322.0,15.0,,,1936.0,202001080700,202001080800,16785.0,1936.0,359.0,17144.0,98,11
176,,343.0,,1532.0,13401.0,50.0,,,1945.0,202001080800,202001080900,16878.0,1945.0,393.0,17271.0,98,11
177,,343.0,,1532.0,13631.0,27.0,,,1817.0,202001080900,202001081000,16980.0,1817.0,370.0,17350.0,98,10
178,,335.0,,1543.0,13591.0,27.0,,,1783.0,202001081000,202001081100,16917.0,1783.0,362.0,17279.0,98,10
179,,338.0,,1528.0,13594.0,27.0,,,1753.0,202001081100,202001081200,16875.0,1753.0,365.0,17240.0,98,10
180,,338.0,,1532.0,13905.0,23.0,,,1735.0,202001081200,202001081300,17172.0,1735.0,361.0,17533.0,98,10
181,,341.0,,1516.0,14491.0,26.0,,,1745.0,202001081300,202001081400,17752.0,1745.0,367.0,18119.0,98,10
182,,343.0,,1512.0,15479.0,26.0,,,1720.0,202001081400,202001081500,18711.0,1720.0,369.0,19080.0,98,9
183,,343.0,,1512.0,16733.0,25.0,,,1768.0,202001081500,202001081600,20013.0,1768.0,368.0,20381.0,98,9
184,,342.0,,1523.0,16618.0,25.0,,,1608.0,202001081600,202001081700,19749.0,1608.0,367.0,20116.0,98,8
185,,340.0,,1525.0,16295.0,26.0,,,1646.0,202001081700,202001081800,19466.0,1646.0,366.0,19832.0,98,8
186,,338.0,,1516.0,15882.0,26.0,,,1663.0,202001081800,202001081900,19061.0,1663.0,364.0,19425.0,98,9
187,,344.0,,1520.0,15220.0,27.0,,,1740.0,202001081900,202001082000,18480.0,1740.0,371.0,18851.0,98,9
188,,343.0,,1517.0,14836.0,28.0,,,1684.0,202001082000,202001082100,18037.0,1684.0,371.0,18408.0,98,9
189,,341.0,,1512.0,13811.0,28.0,,,1620.0,202001082100,202001082200,16943.0,1620.0,369.0,17312.0,98,9
190,,344.0,,1509.0,12661.0,30.0,,,1567.0,202001082200,202001082300,15737.0,1567.0,374.0,16111.0,98,10
191,,343.0,,1527.0,11992.0,32.0,,,1554.0,202001082300,202001090000,15073.0,1554.0,375.0,15448.0,98,10
192,,339.0,,1520.0,11475.0,33.0,,,1525.0,202001090000,202001090100,14520.0,1525.0,372.0,14892.0,98,10
193,,337.0,,1515.0,11420.0,33.0,,,1500.0,202001090100,202001090200,14435.0,1500.0,370.0,14805.0,98,10
194,,336.0,,1513.0,11679.0,31.0,,,1448.0,202001090200,202001090300,14640.0,1448.0,367.0,15007.0,98,10
195,,339.0,,1511.0,12779.0,28.0,,,1409.0,202001090300,202001090400,15699.0,1409.0,367.0,16066.0,98,9
196,,337.0,,1505.0,14461.0,26.0,,,1307.0,202001090400,202001090500,17273.0,1307.0,363.0,17636.0,98,7
