,Wind Onshore,startTime,totalRenewable,total,percentRenewable
483,52.0,202001210300,52.0,252.0,21
484,52.0,202001210400,52.0,345.0,15
485,51.0,202001210500,51.0,561.0,9
486,47.0,202001210600,47.0,990.0,5
487,45.0,202001210700,45.0,1066.0,4
488,45.0,202001210800,45.0,1152.0,4
489,45.0,202001210900,45.0,1151.0,4
490,47.0,202001211000,47.0,1154.0,4
491,51.0,202001211100,51.0,1159.0,4
492,52.0,202001211200,52.0,1159.0,4
493,50.0,202001211300,50.0,1156.0,4
494,48.0,202001211400,48.0,1139.0,4
495,47.0,202001211500,47.0,1156.0,4
496,39.0,202001211600,39.0,1183.0,3
497,40.0,202001211700,40.0,1091.0,4
498,34.0,202001211800,34.0,770.0,4
499,30.0,202001211900,30.0,763.0,4
500,26.0,202001212000,26.0,459.0,6
501,24.0,202001212100,24.0,315.0,8
502,33.0,202001212200,33.0,240.0,14
503,28.0,202001212300,28.0,227.0,12
504,37.0,202001220000,37.0,237.0,16
505,36.0,202001220100,36.0,234.0,15
506,42.0,202001220200,42.0,240.0,18
507,41.0,202001220300,41.0,238.0,17
508,43.0,202001220400,43.0,240.0,18
509,47.0,202001220500,47.0,571.0,8
510,52.0,202001220600,52.0,959.0,5
511,53.0,202001220700,53.0,1125.0,5
512,54.0,202001220800,54.0,1220.0,4
513,54.0,202001220900,54.0,1221.0,4
514,54.0,202001221000,54.0,1221.0,4
515,54.0,202001221100,54.0,1176.0,5
516,56.0,202001221200,56.0,1177.0,5
517,56.0,202001221300,56.0,1230.0,5
518,56.0,202001221400,56.0,1232.0,5
519,56.0,202001221500,56.0,1233.0,5
520,56.0,202001221600,56.0,1269.0,4
521,55.0,202001221700,55.0,1267.0,4
522,55.0,202001221800,55.0,1116.0,5
523,56.0,202001221900,56.0,1015.0,6
524,56.0,202001222000,56.0,831.0,7
525,54.0,202001222100,54.0,528.0,10
526,52.0,202001222200,52.0,237.0,22
527,34.0,202001222300,34.0,237.0,14
528,32.0,202001230000,32.0,232.0,14
529,31.0,202001230100,31.0,230.0,13
530,34.0,202001230200,34.0,233.0,15
531,33.0,202001230300,33.0,234.0,14
532,29.0,202001230400,29.0,760.0,4
533,24.0,202001230500,24.0,1157.0,2
534,17.0,202001230600,17.0,1086.0,2
535,11.0,202001230700,11.0,1330.0,1
536,9.0,202001230800,9.0,1569.0,1
537,10.0,202001230900,10.0,1564.0,1
538,13.0,202001231000,13.0,1567.0,1
539,13.0,202001231100,13.0,1559.0,1
540,17.0,202001231200,17.0,1509.0,1
541,23.0,202001231300,23.0,1424.0,2
542,26.0,202001231400,26.0,1393.0,2
543,37.0,202001231500,37.0,1405.0,3
544,50.0,202001231600,50.0,1274.0,4
545,45.0,202001231700,45.0,1090.0,4
546,50.0,202001231800,50.0,856.0,6
547,50.0,202001231900,50.0,812.0,6
548,50.0,202001232000,50.0,684.0,7
549,51.0,202001232100,51.0,491.0,10
550,53.0,202001232200,53.0,341.0,16
551,53.0,202001232300,53.0,252.0,21
552,54.0,202001240000,54.0,253.0,21
553,54.0,202001240100,54.0,252.0,21
554,54.0,202001240200,54.0,252.0,21
555,54.0,202001240300,54.0,254.0,21
556,52.0,202001240400,52.0,342.0,15
557,52.0,202001240500,52.0,608.0,9
558,50.0,202001240600,50.0,1157.0,4
559,49.0,202001240700,49.0,1104.0,4
560,46.0,202001240800,46.0,1101.0,4
561,47.0,202001240900,47.0,1140.0,4
562,47.0,202001241000,47.0,1127.0,4
563,48.0,202001241100,48.0,1099.0,4
564,51.0,202001241200,51.0,1195.0,4
565,48.0,202001241300,48.0,1194.0,4
566,45.0,202001241400,45.0,1192.0,4
567,42.0,202001241500,42.0,1190.0,4
568,43.0,202001241600,43.0,1191.0,4
569,37.0,202001241700,37.0,1198.0,3
570,39.0,202001241800,39.0,871.0,4
571,39.0,202001241900,39.0,691.0,6
572,40.0,202001242000,40.0,435.0,9
573,42.0,202001242100,42.0,246.0,17
574,44.0,202001242200,44.0,243.0,18
575,40.0,202001242300,40.0,249.0,16
576,43.0,202001250000,43.0,253.0,17
577,37.0,202001250100,37.0,241.0,15
578,39.0,202001250200,39.0,242.0,16
579,39.0,202001250300,39.0,333.0,12
580,39.0,202001250400,39.0,473.0,8
581,38.0,202001250500,38.0,655.0,6
582,36.0,202001250600,36.0,793.0,5
583,33.0,202001250700,33.0,844.0,4
584,31.0,202001250800,31.0,974.0,3
585,24.0,202001250900,24.0,1005.0,2
586,27.0,202001251000,27.0,990.0,3
587,24.0,202001251100,24.0,1026.0,2
588,20.0,202001251200,20.0,1022.0,2
589,13.0,202001251300,13.0,1045.0,1
590,10.0,202001251400,10.0,1113.0,1
591,9.0,202001251500,9.0,1113.0,1
592,8.0,202001251600,8.0,1133.0,1
593,8.0,202001251700,8.0,1115.0,1
594,8.0,202001251800,8.0,1114.0,1
595,9.0,202001251900,9.0,986.0,1
596,10.0,202001252000,10.0,750.0,1
597,12.0,202001252100,12.0,509.0,2
598,15.0,202001252200,15.0,270.0,6
599,15.0,202001252300,15.0,222.0,7
600,20.0,202001260000,20.0,227.0,9
601,22.0,202001260100,22.0,225.0,10
602,28.0,202001260200,28.0,231.0,12
603,34.0,202001260300,34.0,236.0,14
604,40.0,202001260400,40.0,439.0,9
605,37.0,202001260500,37.0,579.0,6
606,34.0,202001260600,34.0,580.0,6
607,37.0,202001260700,37.0,710.0,5
608,39.0,202001260800,39.0,855.0,5
609,36.0,202001260900,36.0,852.0,4
610,32.0,202001261000,32.0,865.0,4
611,37.0,202001261100,37.0,942.0,4
612,39.0,202001261200,39.0,944.0,4
613,40.0,202001261300,40.0,1073.0,4
614,36.0,202001261400,36.0,1105.0,3
615,30.0,202001261500,30.0,1134.0,3
616,28.0,202001261600,28.0,1133.0,2
617,25.0,202001261700,25.0,1130.0,2
618,24.0,202001261800,24.0,1127.0,2
619,20.0,202001261900,20.0,1019.0,2
620,18.0,202001262000,18.0,761.0,2
621,16.0,202001262100,16.0,501.0,3
622,14.0,202001262200,14.0,335.0,4
623,17.0,202001262300,17.0,218.0,8
624,17.0,202001270000,17.0,218.0,8
625,14.0,202001270100,14.0,214.0,7
626,14.0,202001270200,14.0,214.0,7
627,10.0,202001270300,10.0,390.0,3
628,10.0,202001270400,10.0,624.0,2
629,9.0,202001270500,9.0,866.0,1
630,9.0,202001270600,9.0,1019.0,1
631,9.0,202001270700,9.0,1131.0,1
632,8.0,202001270800,8.0,1185.0,1
633,9.0,202001270900,9.0,1185.0,1
634,9.0,202001271000,9.0,1223.0,1
635,10.0,202001271100,10.0,1223.0,1
636,10.0,202001271200,10.0,1187.0,1
637,11.0,202001271300,11.0,1188.0,1
638,11.0,202001271400,11.0,1187.0,1
639,10.0,202001271500,10.0,1189.0,1
640,11.0,202001271600,11.0,1100.0,1
641,12.0,202001271700,12.0,1010.0,1
642,13.0,202001271800,13.0,948.0,1
643,15.0,202001271900,15.0,747.0,2
644,17.0,202001272000,17.0,603.0,3
