group_id,Solar,Wind Offshore,Wind Onshore,totalRenewable,startTime,total,percentRenewable
324,5621.25,5372.25,29808.5,40802.0,202001141200,87621.0,47
325,4050.75,5362.25,28810.5,38223.5,202001141300,84894.0,45
326,1925.75,5359.0,28001.75,35286.5,202001141400,82542.0,43
327,299.0,5568.75,28143.0,34010.75,202001141500,82166.0,41
328,0.0,5540.5,29421.0,34961.5,202001141600,84564.0,41
329,0.0,5483.25,31013.75,36497.0,202001141700,85122.0,43
330,0.0,5444.75,32515.75,37960.5,202001141800,84582.0,45
331,0.0,5413.25,34000.75,39414.0,202001141900,82190.0,48
332,0.0,5025.75,35130.0,40155.75,202001142000,80197.0,50
333,0.0,4686.5,35393.25,40079.75,202001142100,77772.0,52
334,0.0,4441.0,35482.75,39923.75,202001142200,76110.0,52
335,0.0,4118.25,35390.75,39509.0,202001142300,72144.0,55
336,0.0,4072.0,34979.0,39051.0,202001150000,70973.0,55
337,0.0,4162.5,34462.75,38625.25,202001150100,69613.0,55
338,0.0,4403.5,33932.5,38336.0,202001150200,69558.0,55
339,0.0,4542.75,33368.25,37911.0,202001150300,69456.0,55
340,0.0,4627.0,32955.25,37582.25,202001150400,70714.0,53
341,0.0,4719.25,32924.75,37644.0,202001150500,76753.0,49
342,0.0,4852.0,32695.5,37547.5,202001150600,81972.0,46
343,766.25,4707.0,32599.75,38073.0,202001150700,85745.0,44
344,4393.75,4719.25,32463.5,41576.5,202001150800,89311.0,47
345,8525.75,4708.5,32098.75,45333.0,202001150900,92344.0,49
346,11423.0,4658.75,31329.25,47411.0,202001151000,94364.0,50
347,12403.25,4571.75,30542.75,47517.75,202001151100,94231.0,50
348,11206.25,4363.5,30030.75,45600.5,202001151200,92206.0,49
349,8075.0,4176.75,29975.75,42227.5,202001151300,87944.0,48
350,3850.5,4193.0,30172.5,38216.0,202001151400,84351.0,45
351,579.75,4625.5,30454.75,35660.0,202001151500,81896.0,44
352,0.0,4955.0,30504.5,35459.5,202001151600,83652.0,42
353,0.0,5264.75,30309.0,35573.75,202001151700,83811.0,42
354,0.0,5534.0,29764.0,35298.0,202001151800,82775.0,43
355,0.0,5634.0,28708.25,34342.25,202001151900,78029.0,44
356,0.0,5665.25,27425.5,33090.75,202001152000,73558.0,45
357,0.0,5700.5,25656.5,31357.0,202001152100,70071.0,45
358,0.0,5683.25,24069.0,29752.25,202001152200,67392.0,44
359,0.0,6052.25,22068.5,28120.75,202001152300,64705.0,43
360,0.0,6012.25,20252.0,26264.25,202001160000,63269.0,42
361,0.0,6028.5,18446.5,24475.0,202001160100,60680.0,40
362,0.0,6062.75,16899.5,22962.25,202001160200,58315.0,39
363,0.0,6043.5,15323.0,21366.5,202001160300,57947.0,37
364,0.0,5978.5,13875.0,19853.5,202001160400,58999.0,34
365,0.0,5862.75,12575.25,18438.0,202001160500,63202.0,29
366,0.0,5739.25,11413.25,17152.5,202001160600,70148.0,24
367,607.5,5609.75,10587.0,16804.25,202001160700,73022.0,23
368,3807.5,5497.25,9618.0,18922.75,202001160800,76358.0,25
369,7638.0,5404.5,8430.75,21473.25,202001160900,78881.0,27
370,10586.5,5348.75,7007.0,22942.25,202001161000,79142.0,29
371,11967.5,5230.75,5911.5,23109.75,202001161100,78542.0,29
372,11189.5,5104.0,5500.25,21793.75,202001161200,76349.0,29
373,8394.0,4999.5,5924.0,19317.5,202001161300,73504.0,26
374,4169.75,4998.0,7230.25,16398.0,202001161400,69759.0,24
375,646.0,5079.5,9775.25,15500.75,202001161500,67458.0,23
376,0.0,5183.75,13008.0,18191.75,202001161600,71976.0,25
377,0.0,5295.25,15941.75,21237.0,202001161700,75538.0,28
378,0.0,5389.5,18056.75,23446.25,202001161800,77011.0,30
379,0.0,5469.25,19312.75,24782.0,202001161900,73595.0,34
380,0.0,5511.5,20182.75,25694.25,202001162000,69533.0,37
381,0.0,5631.0,20510.5,26141.5,202001162100,67413.0,39
382,0.0,5743.25,20758.25,26501.5,202001162200,65882.0,40
383,0.0,5831.25,20114.0,25945.25,202001162300,61108.0,42
384,0.0,5904.25,19986.25,25890.5,202001170000,59975.0,43
385,0.0,5937.0,19751.75,25688.75,202001170100,58773.0,44
386,0.0,5951.5,19339.0,25290.5,202001170200,58023.0,44
387,0.0,5931.0,18885.0,24816.0,202001170300,58120.0,43
388,0.0,5890.5,18684.5,24575.0,202001170400,62262.0,39
389,0.0,5689.5,18914.25,24603.75,202001170500,68928.0,36
390,0.0,5653.25,18959.25,24612.5,202001170600,74883.0,33
391,426.25,5658.5,18671.25,24756.0,202001170700,79288.0,31
392,3443.75,5687.5,18473.25,27604.5,202001170800,82487.0,33
393,7806.25,5699.0,16963.25,30468.5,202001170900,84301.0,36
394,10737.75,5659.0,14713.75,31110.5,202001171000,85278.0,36
395,11494.25,5527.0,12803.5,29824.75,202001171100,84278.0,35
396,10138.0,5296.5,11652.0,27086.5,202001171200,80711.0,34
397,7079.75,4899.5,11250.0,23229.25,202001171300,75520.0,31
398,3258.5,4435.5,11284.0,18978.0,202001171400,70626.0,27
399,492.0,4026.75,11780.75,16299.5,202001171500,69150.0,24
400,0.0,3560.5,12290.75,15851.25,202001171600,70655.0,22
401,0.0,3106.75,12682.75,15789.5,202001171700,71563.0,22
402,0.0,2700.75,13044.75,15745.5,202001171800,69849.0,23
403,0.0,2441.0,13409.25,15850.25,202001171900,66303.0,24
404,0.0,2243.25,13863.5,16106.75,202001172000,63364.0,25
405,0.0,2039.25,14417.5,16456.75,202001172100,61799.0,27
406,0.0,1892.0,15025.5,16917.5,202001172200,61260.0,28
407,0.0,4895.75,22999.75,27895.5,202001172300,62995.0,44
408,0.0,5023.25,23416.0,28439.25,202001180000,63022.0,45
409,0.0,5117.0,23358.0,28475.0,202001180100,61780.0,46
410,0.0,5190.0,23028.0,28218.0,202001180200,62572.0,45
411,0.0,5266.25,22463.75,27730.0,202001180300,62475.0,44
412,0.0,5324.5,21968.0,27292.5,202001180400,62677.0,44
413,0.0,5362.75,21829.5,27192.25,202001180500,61701.0,44
